DATAFLOW,MEASURE: Measure,REGION_TYPE: Geography Level,ASGS_2021: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2010,7144292,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2011,7218529,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2012,7304244,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2013,7404032,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2014,7508353,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2015,7616168,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2016,7732858,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2017,7850871,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2018,7945580,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2019,8034305,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2020,8094317,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,1: New South Wales,A: Annual,2021,8093815,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,9: Other Territories,A: Annual,2010,3055,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,9: Other Territories,A: Annual,2011,3117,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,9: Other Territories,A: Annual,2012,3033,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,9: Other Territories,A: Annual,2013,2962,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,9: Other Territories,A: Annual,2014,2896,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,9: Other Territories,A: Annual,2015,2851,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,9: Other Territories,A: Annual,2016,4608,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,9: Other Territories,A: Annual,2017,4665,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,9: Other Territories,A: Annual,2018,4716,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,9: Other Territories,A: Annual,2019,4759,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,9: Other Territories,A: Annual,2020,4791,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,9: Other Territories,A: Annual,2021,4848,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,6: Tasmania,A: Annual,2010,508847,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,6: Tasmania,A: Annual,2011,511483,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,6: Tasmania,A: Annual,2012,511724,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,6: Tasmania,A: Annual,2013,512231,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,6: Tasmania,A: Annual,2014,513621,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,6: Tasmania,A: Annual,2015,515117,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,6: Tasmania,A: Annual,2016,517514,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,6: Tasmania,A: Annual,2017,528324,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,6: Tasmania,A: Annual,2018,540112,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,6: Tasmania,A: Annual,2019,552310,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,6: Tasmania,A: Annual,2020,563507,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,6: Tasmania,A: Annual,2021,567909,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,3: Queensland,A: Annual,2010,4404744,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,3: Queensland,A: Annual,2011,4476778,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,3: Queensland,A: Annual,2012,4568687,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,3: Queensland,A: Annual,2013,4652824,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,3: Queensland,A: Annual,2014,4719653,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,3: Queensland,A: Annual,2015,4777692,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,3: Queensland,A: Annual,2016,4845152,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,3: Queensland,A: Annual,2017,4928374,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,3: Queensland,A: Annual,2018,5010502,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,3: Queensland,A: Annual,2019,5094718,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,3: Queensland,A: Annual,2020,5175003,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,3: Queensland,A: Annual,2021,5217653,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,5: Western Australia,A: Annual,2010,2290845,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,5: Western Australia,A: Annual,2011,2353409,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,5: Western Australia,A: Annual,2012,2425507,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,5: Western Australia,A: Annual,2013,2486944,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,5: Western Australia,A: Annual,2014,2517608,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,5: Western Australia,A: Annual,2015,2540672,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,5: Western Australia,A: Annual,2016,2555978,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,5: Western Australia,A: Annual,2017,2587577,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,5: Western Australia,A: Annual,2018,2621052,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,5: Western Australia,A: Annual,2019,2663795,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,5: Western Australia,A: Annual,2020,2718400,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,5: Western Australia,A: Annual,2021,2749864,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,4: South Australia,A: Annual,2010,1627322,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,4: South Australia,A: Annual,2011,1639614,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,4: South Australia,A: Annual,2012,1656725,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,4: South Australia,A: Annual,2013,1671488,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,4: South Australia,A: Annual,2014,1686945,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,4: South Australia,A: Annual,2015,1700668,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,4: South Australia,A: Annual,2016,1712843,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,4: South Australia,A: Annual,2017,1729608,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,4: South Australia,A: Annual,2018,1748010,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,4: South Australia,A: Annual,2019,1770048,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,4: South Australia,A: Annual,2020,1793547,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,4: South Australia,A: Annual,2021,1803192,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,7: Northern Territory,A: Annual,2010,229778,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,7: Northern Territory,A: Annual,2011,231292,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,7: Northern Territory,A: Annual,2012,235915,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,7: Northern Territory,A: Annual,2013,241722,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,7: Northern Territory,A: Annual,2014,242894,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,7: Northern Territory,A: Annual,2015,244692,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,7: Northern Territory,A: Annual,2016,245678,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,7: Northern Territory,A: Annual,2017,248161,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,7: Northern Territory,A: Annual,2018,248363,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,7: Northern Territory,A: Annual,2019,248153,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,7: Northern Territory,A: Annual,2020,248943,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,7: Northern Territory,A: Annual,2021,249200,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,8: Australian Capital Territory,A: Annual,2010,361766,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,8: Australian Capital Territory,A: Annual,2011,367985,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,8: Australian Capital Territory,A: Annual,2012,376539,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,8: Australian Capital Territory,A: Annual,2013,383257,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,8: Australian Capital Territory,A: Annual,2014,388799,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,8: Australian Capital Territory,A: Annual,2015,395813,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,8: Australian Capital Territory,A: Annual,2016,403104,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,8: Australian Capital Territory,A: Annual,2017,416824,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,8: Australian Capital Territory,A: Annual,2018,430140,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,8: Australian Capital Territory,A: Annual,2019,441277,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,8: Australian Capital Territory,A: Annual,2020,450632,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,8: Australian Capital Territory,A: Annual,2021,453558,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,2: Victoria,A: Annual,2010,5461101,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,2: Victoria,A: Annual,2011,5537817,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,2: Victoria,A: Annual,2012,5651091,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,2: Victoria,A: Annual,2013,5772669,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,2: Victoria,A: Annual,2014,5894917,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,2: Victoria,A: Annual,2015,6022322,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,2: Victoria,A: Annual,2016,6173172,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,2: Victoria,A: Annual,2017,6299798,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,2: Victoria,A: Annual,2018,6418168,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,2: Victoria,A: Annual,2019,6530852,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,2: Victoria,A: Annual,2020,6606149,PSNS: Persons,,
ABS:ABS_ANNUAL_ERP_ASGS2021(1.2.0),ERP: Estimated Resident Population,STE: States and Territories,2: Victoria,A: Annual,2021,6548040,PSNS: Persons,,
